dataset,fm,mode,seed,bal_acc,source,bal_acc_std,n
sleepdep,labram,ft,42.0,0.4861,exp_newdata/sleepdep_ft_labram_s42,,
sleepdep,labram,ft,123.0,0.5,exp_newdata/sleepdep_ft_labram_s123,,
sleepdep,labram,ft,2024.0,0.6111,exp_newdata/sleepdep_ft_labram_s2024,,
sleepdep,labram,lp,42.0,0.4722,exp_newdata/sleepdep_lp_labram_s42,,
sleepdep,labram,lp,123.0,0.4868,exp_newdata/sleepdep_lp_labram_s123,,
sleepdep,labram,lp,2024.0,0.5395,exp_newdata/sleepdep_lp_labram_s2024,,
sleepdep,cbramod,ft,42.0,0.5139,exp_newdata/sleepdep_ft_cbramod_s42,,
sleepdep,cbramod,ft,123.0,0.5417,exp_newdata/sleepdep_ft_cbramod_s123,,
sleepdep,cbramod,ft,2024.0,0.6111,exp_newdata/sleepdep_ft_cbramod_s2024,,
sleepdep,cbramod,lp,42.0,0.5658,exp_newdata/sleepdep_lp_cbramod_s42,,
sleepdep,cbramod,lp,123.0,0.5921,exp_newdata/sleepdep_lp_cbramod_s123,,
sleepdep,cbramod,lp,2024.0,0.5132,exp_newdata/sleepdep_lp_cbramod_s2024,,
sleepdep,reve,ft,42.0,0.5417,exp_newdata/sleepdep_ft_reve_s42,,
sleepdep,reve,ft,123.0,0.5278,exp_newdata/sleepdep_ft_reve_s123,,
sleepdep,reve,ft,2024.0,0.5556,exp_newdata/sleepdep_ft_reve_s2024,,
sleepdep,reve,lp,42.0,0.5132,exp_newdata/sleepdep_lp_reve_s42,,
sleepdep,reve,lp,123.0,0.5921,exp_newdata/sleepdep_lp_reve_s123,,
sleepdep,reve,lp,2024.0,0.5263,exp_newdata/sleepdep_lp_reve_s2024,,
meditation,labram,ft,42.0,0.5985,exp_newdata/meditation_ft_labram_s42,,
meditation,labram,ft,123.0,0.5025,exp_newdata/meditation_ft_labram_s123,,
meditation,labram,ft,2024.0,0.4444,exp_newdata/meditation_ft_labram_s2024,,
meditation,labram,lp,42.0,0.4899,exp_newdata/meditation_lp_labram_s42,,
meditation,labram,lp,123.0,0.4747,exp_newdata/meditation_lp_labram_s123,,
meditation,labram,lp,2024.0,0.4545,exp_newdata/meditation_lp_labram_s2024,,
meditation,cbramod,ft,42.0,0.6919,exp_newdata/meditation_ft_cbramod_s42,,
meditation,cbramod,ft,123.0,0.6338,exp_newdata/meditation_ft_cbramod_s123,,
meditation,cbramod,ft,2024.0,0.7247,exp_newdata/meditation_ft_cbramod_s2024,,
meditation,cbramod,lp,42.0,0.7929,exp_newdata/meditation_lp_cbramod_s42,,
meditation,cbramod,lp,123.0,0.6591,exp_newdata/meditation_lp_cbramod_s123,,
meditation,cbramod,lp,2024.0,0.6793,exp_newdata/meditation_lp_cbramod_s2024,,
meditation,reve,ft,42.0,0.3939,exp_newdata/meditation_ft_reve_s42,,
meditation,reve,ft,123.0,0.3535,exp_newdata/meditation_ft_reve_s123,,
meditation,reve,ft,2024.0,0.5505,exp_newdata/meditation_ft_reve_s2024,,
meditation,reve,lp,42.0,0.5076,exp_newdata/meditation_lp_reve_s42,,
meditation,reve,lp,123.0,0.4823,exp_newdata/meditation_lp_reve_s123,,
meditation,reve,lp,2024.0,0.6237,exp_newdata/meditation_lp_reve_s2024,,
stress,labram,lp,,0.6049107142857143,master_frozen_ft_table.json:frozen,0.03192599747648938,8.0
stress,labram,ft,,0.5238333333333334,master_frozen_ft_table.json:ft,0.010276834791575297,3.0
stress,cbramod,lp,,0.4520089285714286,master_frozen_ft_table.json:frozen,0.03199281163567347,8.0
stress,cbramod,ft,,0.5476333333333333,master_frozen_ft_table.json:ft,0.03136021896182062,3.0
stress,reve,lp,,0.49441964285714285,master_frozen_ft_table.json:frozen,0.01781723857742217,8.0
stress,reve,ft,,0.5773666666666667,master_frozen_ft_table.json:ft,0.05075995797213918,3.0
eegmat,labram,lp,,0.6712962962962963,master_frozen_ft_table.json:frozen,0.056131276171213676,3.0
eegmat,labram,ft,,0.7314666666666667,master_frozen_ft_table.json:ft,0.021232600719962035,3.0
eegmat,cbramod,lp,,0.7314814814814815,master_frozen_ft_table.json:frozen,0.052582484683335935,3.0
eegmat,cbramod,ft,,0.6204,master_frozen_ft_table.json:ft,0.057814271594477426,3.0
eegmat,reve,lp,,0.6712962962962963,master_frozen_ft_table.json:frozen,0.02121562821738812,3.0
eegmat,reve,ft,,0.7268333333333333,master_frozen_ft_table.json:ft,0.03498089955008781,3.0
adftd,labram,lp,,0.695242656449553,master_frozen_ft_table.json:frozen,0.005695901269128792,3.0
adftd,labram,ft,,0.7086,master_frozen_ft_table.json:ft,0.013721880337621414,3.0
adftd,cbramod,lp,,0.5582162622392508,master_frozen_ft_table.json:frozen,0.0216203989165142,3.0
adftd,cbramod,ft,,0.5372,master_frozen_ft_table.json:ft,0.026553154238244496,3.0
adftd,reve,lp,,0.69247552149851,master_frozen_ft_table.json:frozen,0.02619611328461439,3.0
adftd,reve,ft,,0.6577333333333333,master_frozen_ft_table.json:ft,0.03017189641592546,3.0
tdbrain,labram,lp,,0.6793772163120567,master_frozen_ft_table.json:frozen,0.008929962093978713,3.0
tdbrain,labram,ft,,0.6645666666666666,master_frozen_ft_table.json:ft,0.044658071312287266,3.0
tdbrain,cbramod,lp,,0.5644281914893617,master_frozen_ft_table.json:frozen,0.007108825240597251,3.0
tdbrain,cbramod,ft,,0.48793333333333333,master_frozen_ft_table.json:ft,0.013615187598168953,3.0
tdbrain,reve,lp,,0.5442043439716312,master_frozen_ft_table.json:frozen,0.00863508320375571,3.0
tdbrain,reve,ft,,0.48833333333333334,master_frozen_ft_table.json:ft,0.019154459881012897,3.0
